id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
BEJ10B,0,1,id speech,.86619717,.13380282,.86619717,3.4054427,3.4054427,BEJ10
BEJ11C,1,0,ad song,.70542634,.29457363,.29457363,4.4776669,4.4776669,BEJ11
BEJ11D,0,0,ad speech,.11827957,.88172042,.88172042,3.2915375,3.2915375,BEJ11
BEJ11B,0,1,id speech,.20472442,.79527557,.20472442,4.8326249,4.8326249,BEJ11
BEJ12C,1,0,ad song,.625,.375,.375,3.2702045,3.2702045,BEJ12
BEJ12D,0,0,ad speech,.10476191,.8952381,.8952381,2.7548404,2.7548404,BEJ12
BEJ12A,1,1,id song,.80882353,.19117647,.80882353,3.0412803,3.0412803,BEJ12
BEJ13C,1,0,ad song,.77777779,.22222222,.22222222,3.6475716,3.6475716,BEJ13
BEJ13D,0,0,ad speech,.11666667,.88333333,.88333333,3.6519904,3.6519904,BEJ13
BEJ13A,1,1,id song,.89677417,.1032258,.89677417,3.0726979,3.0726979,BEJ13
BEJ14C,1,0,ad song,.80208331,.19791667,.19791667,4.2048888,4.2048888,BEJ14
BEJ14D,0,0,ad speech,.21186441,.78813559,.78813559,3.510011,3.510011,BEJ14
BEJ14A,1,1,id song,.8865248,.11347517,.8865248,3.6364064,3.6364064,BEJ14
BEJ15C,1,0,ad song,.8487395,.15126051,.15126051,5.5735626,5.5735626,BEJ15
BEJ15D,0,0,ad speech,.064220183,.93577981,.93577981,3.4306138,3.4306138,BEJ15
BEJ15A,1,1,id song,.7723577,.22764228,.7723577,3.6079347,3.6079347,BEJ15
BEJ15B,0,1,id speech,.89705884,.10294118,.89705884,3.289748,3.289748,BEJ15
BEJ16C,1,0,ad song,.50925928,.49074075,.49074075,3.5779812,3.5779812,BEJ16
BEJ16D,0,0,ad speech,.10309278,.89690721,.89690721,3.2310588,3.2310588,BEJ16
BEJ16A,1,1,id song,.79452056,.20547946,.79452056,3.1347477,3.1347477,BEJ16
BEJ16B,0,1,id speech,.69852942,.30147058,.69852942,2.9177554,2.9177554,BEJ16
BEJ17C,1,0,ad song,.83200002,.168,.168,4.5474286,4.5474286,BEJ17
BEJ17D,0,0,ad speech,.072580643,.92741936,.92741936,3.1874824,3.1874824,BEJ17
BEJ17A,1,1,id song,.86330932,.13669065,.86330932,3.5529244,3.5529244,BEJ17
BEJ17B,0,1,id speech,.71311474,.28688523,.71311474,4.2040691,4.2040691,BEJ17
BEJ18C,1,0,ad song,.87074828,.1292517,.1292517,5.0594668,5.0594668,BEJ18
BEJ18A,1,1,id song,.89308178,.10691824,.89308178,3.3608358,3.3608358,BEJ18
BEJ19C,1,0,ad song,.60344827,.39655173,.39655173,3.4739091,3.4739091,BEJ19
BEJ19D,0,0,ad speech,.17948718,.82051283,.82051283,3.7234526,3.7234526,BEJ19
BEJ19A,1,1,id song,.76991153,.2300885,.76991153,3.4958277,3.4958277,BEJ19
BEJ19B,0,1,id speech,.48888889,.51111114,.48888889,4.7496767,4.7496767,BEJ19
BEJ20C,1,0,ad song,.8224299,.17757009,.17757009,4.0814738,4.0814738,BEJ20
BEJ20D,0,0,ad speech,.33050847,.66949153,.66949153,3.6333551,3.6333551,BEJ20
BEJ20A,1,1,id song,.94303799,.056962024,.94303799,3.0609663,3.0609663,BEJ20
BEJ20B,0,1,id speech,.75833333,.24166666,.75833333,3.5068111,3.5068111,BEJ20
BEJ21C,1,0,ad song,.70161289,.29838711,.29838711,4.4797716,4.4797716,BEJ21
BEJ21D,0,0,ad speech,.096774191,.90322578,.90322578,3.240211,3.240211,BEJ21
BEJ21A,1,1,id song,.72131145,.27868852,.72131145,3.774965,3.774965,BEJ21
BEJ21B,0,1,id speech,.48305085,.51694918,.48305085,3.6992545,3.6992545,BEJ21
BEJ22C,1,0,ad song,.18644068,.81355929,.81355929,3.2105157,3.2105157,BEJ22
BEJ22D,0,0,ad speech,.073684208,.92631578,.92631578,3.4788046,3.4788046,BEJ22
